14	105588395	105863197	.
14	105588395	105863813	.
14	105588395	105864214	.
14	105588395	105864586	.
14	105588395	105865198	.
14	105588395	105865406	.
14	105601728	105863197	.
14	105601728	105863813	.
14	105601728	105864214	.
14	105601728	105864586	.
14	105601728	105865198	.
14	105601728	105865406	.
14	105626066	105863197	.
14	105626066	105863813	.
14	105626066	105864214	.
14	105626066	105864586	.
14	105626066	105865198	.
14	105626066	105865406	.
14	105644790	105863197	.
14	105644790	105863813	.
14	105644790	105864214	.
14	105644790	105864586	.
14	105644790	105865198	.
14	105644790	105865406	.
14	105743071	105863197	.
14	105743071	105863813	.
14	105743071	105864214	.
14	105743071	105864586	.
14	105743071	105865198	.
14	105743071	105865406	.
14	105708665	105863197	.
14	105708665	105863813	.
14	105708665	105864214	.
14	105708665	105864586	.
14	105708665	105865198	.
14	105708665	105865406	.
14	105771405	105863197	.
14	105771405	105863813	.
14	105771405	105864214	.
14	105771405	105864586	.
14	105771405	105865198	.
14	105771405	105865406	.
14	105845677	105863197	.
14	105845677	105863813	.
14	105845677	105864214	.
14	105845677	105864586	.
14	105845677	105865198	.
14	105845677	105865406	.
14	105856218	105863197	.
14	105856218	105863813	.
14	105856218	105864214	.
14	105856218	105864586	.
14	105856218	105865198	.
14	105856218	105865406	.
